subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	comment
MONDO:0006639	adrenal cortex carcinoma	oboInOwl:hasDbXref	DOID:3948	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006639	adrenal cortex carcinoma	skos:exactMatch	DOID:3948	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013753	Charcot-Marie-Tooth disease axonal type 2P	skos:exactMatch	OMIM:614436	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008758	mitochondrial DNA depletion syndrome 4a	oboInOwl:hasDbXref	DOID:0080122	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008758	mitochondrial DNA depletion syndrome 4a	skos:exactMatch	DOID:0080122	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009979	reticular dystrophy of the retinal pigment epithelium	skos:narrowMatch	OMIM:267800	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002546	schwannoma	oboInOwl:hasDbXref	DOID:955	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002546	schwannoma	skos:exactMatch	DOID:955	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002008	labyrinthitis	skos:exactMatch	DOID:1468	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002008	labyrinthitis	oboInOwl:hasDbXref	DOID:1468	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0020120	skeletal muscle disorder	skos:narrowMatch	Orphanet:206634	semapv:UnspecifiedMatching	0.8	UNIQUE_1
